捡到的东西,思考（默认）,,犹豫,,扔掉,,无描述,,尝试把玩，使用,
一根亮绿色的羽毛,,,虽然你感觉他没什么用，但还是放进了自己的口袋,你正在思考要不要丢弃这根看上去没用的羽毛,,,,,,
一只风干的地精手臂,,,犹豫了一下，还是把它放进了口袋,你边走边思考着要不要丢弃这只手臂,犹豫了一下，还是把它扔掉了,你边走边思考着为什么那里会有一只手臂,,,,
一块月光下微微发光的水晶,,,,,,,,你边走边把玩着那颗水晶,,
一片不寻常的鳞片，可能来自于一条龙,,,,,,,,同行的野蛮人正在跟你讨论这片鳞片是来自哪种龙的,,
一只用金色木头制成的哨子,,,,,,,,,并尝试吹响,嘟——嘟——（什么都没有发生）
一块月光下微微发光的水晶,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚来历不明的金币,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一本用你不知道的语言编写的日记,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚不会失去光泽的黄铜戒指,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚用玻璃制成的老旧象棋棋子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一对用指骨制成的骰子，每枚骰子在六点的那一面都画着骷髅头的图样,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一尊梦魇般生物的塑像，靠近它睡觉时会让人产生不安的梦境,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一条绳制项链上面穿着四根风干的精灵手指,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
某个你不明其所在的国度里一块地皮的地契,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
用不明材料制成的一盎司重方块,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只插满针的小布偶,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
未知野兽的一颗牙齿,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一张老旧的预言牌，其上的画像跟你很像,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个内部充斥着旋转烟雾的玻璃球,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚1磅重，有着亮红外壳的蛋,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一根吹泡泡的管子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个玻璃罐其内装着一块浮在腌汁上的怪肉,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个侏儒制的小音乐盒，能放出一首你隐约记得儿时听过的歌曲,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只沾沾自喜的半身人的小木雕,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个铭刻着奇怪符文的黄铜球,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个多彩的石碟,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个渡鸦的小银徽,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只装有四十七枚类人生物牙齿的袋子，里面其中一枚是烂牙,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一块摸起来感觉温暖的黑曜石碎片,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一条简朴的皮质项链垂着一只龙骨爪,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一双旧袜子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一本空白的书,,,,,,,,,你发现这本书的书页无法用墨水，粉笔，石墨或是任何其他物质书写,这太奇怪了，不过在卡塔斯特，倒也合理
一枚五角星形状的银微章,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个装满指甲屑的玻璃小瓶,,,,,犹豫了一下，还是把它扔掉了,这也太恶心了，怎么有人有那种奇怪的癖好,,,,
一个长方形的金属装置，其中一端有两个凸起的小金属棒,,,,,,,,,,你发现这个装置弄湿时还会冒出火花
一只适合人类尺寸，饰有亮片的白色手套,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一件有一百个小兜的背心,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个没什么重量的小石块,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一幅画着一只地精的小草图,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个空玻璃瓶,,,,,,,,,打开时你闻到香水的气味,香水的味道很快散尽
一枚宝石,,,,,,,,,你发现除你以外的任何人都会将它看作一块煤，你在众人疑惑的目光下，把这块“煤”放进了口袋,你尝试让队友触摸这块宝石来让他们看到这块宝石，但这似乎并不凑效，他们疑惑的变得越发疑惑
从一面老旧军旗上私下的一小块布,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
某个失踪军团成员的一枚勋章,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只没有击锤的小银铃,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只侏儒制的油灯，其内有一只机械金丝雀,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只底部刻成好像有无数只脚的小箱子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只死去的小妖精装在一个透彻的玻璃瓶中,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
